№,Тема,Подтема,Вопрос,Ответ,Тип ответа,Рейтинг неожиданности факта (1-3),Сложность вопроса,Жанр,Распределение дат,AI
166,Животные,Крокодилы,Сколько лет живут крупные виды крокодилов?,70-100 лет,время,1,1,,,0
182,Животные,Слоны,Сколько весит новорожденный слоненок?,100-120 килограммов,масса,1,1,,,0
183,Животные,Слоны,Сколько килограммов пищи съедает слон за день?,150-200 килограммов,количество,1,3,,,0
184,Животные,Слоны,Сколько лет живут слоны в дикой природе?,60-70 лет,время,1,2,,,0
188,Животные,Тигры,Сколько тигров осталось в дикой природе?,4500-5500,количество,1,1,,,0
194,Животные,Факты,Сколько лет может прожить гренландская акула?,более 400 лет,время,3,1,,,1
195,Животные,Факты,Сколько ног у рекордного вида многоножки?,до 1306,количество,3,3,,,1
196,Животные,Факты,Сколько может прожить таракан без головы?,1-2 недели,время,3,1,,,0
197,Животные,Черепахи,Сколько лет может прожить гигантская черепаха?,более 150 лет,время,1,3,,,1
202,Игры,Apex Legends,Сколько видов оружия в Apex Legends?,30,количество,1,3,"FPS, Battle Royale",,0
211,Игры,Counter-Strike 1.6,Сколько официальных карт в стандартной поставке Counter-Strike 1.6?,20-25,количество,1,1,FPS,,0
219,Игры,Dark Souls,Сколько видов оружия в игре Dark Souls?,более 100,количество,1,2,RPG,,1
269,Игры,Mass Effect 2,Сколько уникальных локаций можно посетить в игре Mass Effect 2?,20-30,количество,1,1,RPG,,0
276,Игры,Minecraft,Сколько видов блоков доступно в игре Minecraft?,более 700,количество,1,2,Sandbox,,1
289,Игры,No Man's Sky,Сколько процедурно-генерируемых планет доступно в игре No Man's Sky?,18 квинтиллионов,количество,3,1,"Survival, Exploration",,1
313,Игры,SimCity,Сколько видов построек доступно в игре SimCity?,сотни,количество,1,1,"City-building simulation",,1
318,Игры,StarCraft II,Сколько типов юнитов в игре StarCraft II?,более 100,количество,1,1,RTS,,1
330,Игры,Team Fortress 2,Сколько официальных карт доступно в игре Team Fortress 2?,более 100,количество,1,2,"FPS, Hero shooter",,1
346,Игры,The Sims 4,Сколько дополнений, игровых наборов, каталогов и комплектов для The Sims 4 выпущено?,более 70,количество,1,3,"Life simulation",,1
380,Интернет,Twitch,Сколько подписчиков у shroud?,10.6 миллионов,количество,1,1,,,0
381,Интернет,Twitch,Сколько подписчиков у xQc?,11.9 миллионов,количество,1,1,,,0
382,Интернет,Twitch,"Сколько денег, по слухам, получил Ninja за контракт с Mixer?",20-30 миллионов долларов,деньги,1,3,,,0
383,Интернет,Twitch,Сколько подписчиков у Pokimane?,9.3 миллионов,количество,1,1,,,0
384,Интернет,Twitch,Сколько эмоций доступно на Twitch?,миллионы,количество,2,3,,,1
394,Интернет,YouTube,Какова максимальная длина видео, которое можно загрузить на YouTube?,12 часов,время,1,2,,,0
395,Интернет,YouTube,Сколько времени в среднем люди проводят на YouTube в день?,45 минут,время,1,2,,,0
396,Интернет,YouTube,Сколько сотрудников работает в YouTube?,несколько тысяч,количество,2,3,,,1
397,Интернет,YouTube,Какова длина самого длинного видео на YouTube?,сотни часов,время,2,3,,,1
404,Ипотека,Условия,На сколько лет обычно берут ипотеку?,15-30 лет,время,1,1,,,0
408,Искусство,Живопись,В каком веке была написана Мона Лиза?,1503-1519,дата,1,2,,Наша эра,0
451,История,Бытовые предметы,В каком веке появились первые бронзовые швейные иглы?,1400 до н.э.,дата,2,3,,Древние времена,0
452,История,Бытовые предметы,В каком веке были изобретены ножницы современного типа?,1500 до н.э.,дата,2,3,,Древние времена,0
453,История,Бытовые предметы,В каком веке появились первые зонтики от солнца?,400 до н.э.,дата,2,3,,Древние времена,0
504,История,Игры,В каком веке появились первые игральные кости?,3000 до н.э.,дата,2,3,,Древние времена,0
505,История,Игры,"В каком веке появились первые свидетельства игры, похожей на боулинг?",3200 до н.э.,дата,2,3,,Древние времена,0
525,История,История,В каком году родился Юлий Цезарь?,100 до н.э.,дата,2,3,,Древние времена,0
526,История,История,В каком веке зародилось сельское хозяйство?,10000 до н.э.,дата,2,3,,Древние времена,0
527,История,История,В каком веке появилась письменность?,3200 до н.э.,дата,1,2,,Древние времена,0
528,История,История,В каком году родился Александр Македонский?,356 до н.э.,дата,2,3,,Древние времена,0
537,История,Математика,В каком веке появились первые развитые математические системы?,3000 до н.э.,дата,2,3,,Древние времена,0
570,История,Одежда,В каком веке появились первые пуговицы?,2000 до н.э.,дата,2,2,,Древние времена,0
577,История,Религия,"В каком году, по наиболее распространенной оценке, родился Иисус Христос?",4 до н.э.,дата,1,2,,Древние времена,0
578,История,Религия,"В каком году, по традиционной дате, родился Будда Гаутама?",563 до н.э.,дата,2,3,,Древние времена,0
594,История,Сельское хозяйство,В каком веке был изобретен плуг?,4000 до н.э.,дата,2,2,,Древние времена,0
596,История,Строительство,В каком веке появились первые металлические гвозди?,3400 до н.э.,дата,2,3,,Древние времена,0
649,История,Технологии,В каком веке было изобретено водяное колесо?,100 до н.э.,дата,2,3,,Древние времена,0
650,История,Технологии,В каком веке было изобретено колесо?,3500 до н.э.,дата,2,2,,Древние времена,0
662,История,Транспорт,В каком веке было изобретено колесо?,3500 до н.э.,дата,2,2,,Древние времена,0
686,История,Философия,В каком году родился Аристотель?,384 до н.э.,дата,2,3,,Древние времена,0
687,История,Философия,В каком году родился Платон?,428 до н.э.,дата,2,3,,Древние времена,0
688,История,Философия,В каком году родился Сократ?,470 до н.э.,дата,1,2,,Древние времена,0
734,Космос,Факты,"Сколько времени нужно, чтобы долететь до Солнца на обычном пассажирском самолете?",20 лет,время,2,3,,,0
738,Кошки,Анатомия,Какова нормальная температура тела кошки?,38-39.2 градусов Цельсия,температура,1,3,,,0
740,Кошки,Питание,Сколько процентов белка рекомендуется в сухом корме для кошки?,30-45 процентов,проценты,1,3,,,0
741,Кошки,Питание,Сколько миллилитров воды в день нужно взрослой кошке?,50 миллилитров на кг веса,количество,1,2,,,1
754,Литература,Классическая литература,"В каком веке была написана Илиада Гомера?",800 до н.э.,дата,1,2,,Древние времена,0
771,Литература,Факты,"В каком веке была написана Божественная комедия Данте?",1308-1321,дата,1,2,поэма,Наша эра,0
779,Манга,Fairy Tail,Сколько членов в гильдии Хвост Феи?,более 100,количество,1,3,"приключения, фэнтези",,1
784,Манга,My Hero Academia,"Сколько томов манги My Hero Academia выпущено на данный момент?",40,количество,1,1,"супергероика, комедия",,0
786,Манга,One Piece,"Сколько глав в манге One Piece на данный момент?",более 1100 глав,количество,1,1,"приключения, фэнтези",,1
884,Музыка,Музыкальные инструменты,Сколько инструментов в большом симфоническом оркестре?,80-100,количество,1,2,"классическая музыка",,0
908,Настольные игры,Риичи Маджонг,Сколько очков получает игрок за Рон с 1 хан и 30 фу?,1000 / 1500,количество,1,2,,,1
911,Наука,Астрономия,Сколько миллионов лет в одном галактическом году?,225-250 миллионов лет,время,3,2,,,0
918,Наука,Биология,Сколько ног у сороконожки?,30-382,количество,3,3,,,0
946,Одежда,Одежда,В каком веке появились первые свидетельства использования шарфов?,100 до н.э.,дата,2,2,,Древние времена,0
947,Одежда,Одежда,В каком веке появились первые изображения головных уборов?,3000 до н.э.,дата,2,3,,Древние времена,0
948,Пиво,История,Когда появились первые свидетельства пивоварения?,5000 до н.э.,дата,1,3,,Древние времена,0
951,Пиво,Производство,Какова примерная температура брожения пива?,7-13 / 18-24 градусов Цельсия,температура,1,3,,,1
952,Пиво,Сорта,"Сколько сортов пива, по приблизительным оценкам, существует в мире?",тысячи,количество,1,2,,,1
954,Пиво,Стили,Какова примерная горечь пива IPA по шкале IBU?,40-100,горечь,1,2,,,0
955,Пиво,Стили,Сколько основных стилей пива существует?,более 100,количество,1,3,,,1
964,Природа,Факты,Сколько видов растений существует на Земле?,400 тысяч,количество,1,1,,,0
971,Развлечения,Парки развлечений,Сколько аттракционов в Walt Disney World?,более 150,количество,1,1,,,1
972,Развлечения,Парки развлечений,Сколько аттракционов в Disneyland Park?,более 50,количество,1,1,,,1
994,Сериалы,Как я встретил вашу маму,Сколько женщин Тед Мосби встречал до встречи с матерью?,более 50,количество,1,3,ситком,,1
998,Сериалы,Офис,"Сколько раз Майкл Скотт говорил ""That's what she said"" за время сериала?",58,количество,2,3,"мокьюментари, комедия",,0
1006,Сериалы,Рик и Морти,Сколько измерений существует в мультивселенной Рика и Морти?,бесконечно,количество,3,3,"научная фантастика, комедия",,0
1012,Сериалы,Секретные материалы,"Сколько эпизодов ""Секретных материалов"" посвящено основной мифологии сериала?",100,количество,1,3,"научная фантастика, мистика",,0
1042,Тело человека,Мышцы,Сколько мышц в теле человека?,640-850,количество,1,2,,,0
1061,Транспорт,Факты,Сколько колесных пар у стандартного железнодорожного вагона?,4,количество,2,3,,,0
1070,Фильмы,Звездные войны,"Сколько членов в Ордене джедаев на момент фильма ""Скрытая Угроза""?",10000,количество,1,3,"научная фантастика",,0
1102,Фрукты,Клубника,"Сколько дней нужно клубнике, чтобы созреть от цветка до ягоды?",20-30 дней,время,1,3,,,0
1105,Фрукты,Яблоки,Сколько сортов яблок существует в мире?,более 7500,количество,1,3,,,1
1110,Языки,Общие вопросы,Сколько языков в мире?,более 7100,количество,1,1,,,1
1,Аниме,Akira,Сколько лет прошло с момента взрыва, уничтожившего Токио, до событий фильма?,31 год,время,1,3,"научная фантастика, киберпанк",,0
2,Аниме,Akira,В каком году вышел фильм Akira?,1988,дата,1,2,"научная фантастика, киберпанк",XX век,0
3,Аниме,Code Geass,Сколько сезонов в аниме Code Geass?,2,количество,1,1,"меха, фантастика",,0
4,Аниме,Code Geass,Сколько рыцарей Круглого стола у Британии?,12,количество,1,3,"меха, фантастика",,0
5,Аниме,Code Geass,В каком году вышел первый сезон Code Geass?,2006,дата,1,2,"меха, фантастика",Современность,0
6,Аниме,Cowboy Bebop,Сколько членов команды на космическом корабле Bebop?,4 (и собака),количество,1,1,"научная фантастика, боевик",,1
7,Аниме,Cowboy Bebop,Сколько серий в Cowboy Bebop?,26,количество,1,3,"научная фантастика, боевик",,0
8,Аниме,Cowboy Bebop,В каком году вышел Cowboy Bebop?,1998,дата,1,2,"научная фантастика, боевик",XX век,0
9,Аниме,Death Note,Сколько основных персонажей в аниме Death Note?,около 6-8,количество,1,1,"детектив, мистика",,1
10,Аниме,Demon Slayer,В каком году вышел первый сезон Demon Slayer?,2019,дата,1,2,"приключения, фэнтези",Современность,0
11,Аниме,Fairy Tail,Сколько сезонов в аниме Fairy Tail?,3,количество,1,1,"приключения, фэнтези",,0
12,Аниме,Fairy Tail,В каком году вышел первый сезон Fairy Tail?,2009,дата,1,2,"приключения, фэнтези",Современность,0
14,Аниме,FLCL,Сколько лет Наоте Нандабе, главному герою FLCL?,12 лет,возраст,1,1,"комедия, научная фантастика",,0
15,Аниме,FLCL,Сколько раз Харуко ударила Наоту своей бас-гитарой в первом сезоне?,точно не определено (много раз),количество,1,2,"комедия, научная фантастика",,1
16,Аниме,FLCL,Сколько лет Харуко Харухаре, по её словам?,19 лет,возраст,2,3,"комедия, научная фантастика",,0
17,Аниме,Fullmetal Alchemist,Сколько всего братьев Элрик?,2,количество,1,1,"приключения, фэнтези",,0
18,Аниме,Fullmetal Alchemist,Сколько всего гомункулов?,7,количество,1,3,"приключения, фэнтези",,0
19,Аниме,Fullmetal Alchemist,В каком году вышла первая серия аниме Fullmetal Alchemist?,2003,дата,1,2,"приключения, фэнтези",Современность,0
20,Аниме,Hunter x Hunter,Сколько основных этапов включает Экзамен на Охотника?,5,количество,1,3,"приключения, фэнтези",,0
21,Аниме,Hunter x Hunter,В каком году вышло аниме Hunter x Hunter?,2011,дата,1,2,"приключения, фэнтези",Современность,0
22,Аниме,My Hero Academia,Сколько причуд было у Всемогущего изначально?,1,количество,2,3,"супергероика, комедия",,0
23,Аниме,My Hero Academia,Сколько пальцев на руке у Токоями Фумикаге?,5,количество,2,3,"супергероика, комедия",,0
24,Аниме,My Hero Academia,Сколько сезонов в аниме My Hero Academia?,7,количество,1,1,"супергероика, комедия",,0
25,Аниме,My Hero Academia,Сколько человек было в Лиге Злодеев при первом появлении?,9,количество,1,1,"супергероика, комедия",,0
26,Аниме,My Hero Academia,Сколько лет Изуку Мидории в начале аниме?,14 лет,возраст,1,1,"супергероика, комедия",,0
27,Аниме,My Hero Academia,Сколько лет Всемогущему?,49 лет,возраст,1,2,"супергероика, комедия",,0
28,Аниме,My Hero Academia,Какова максимальная дальность действия причуды Взрыв Бакуго?,не определена точно,дальность,1,2,"супергероика, комедия",,1
29,Аниме,My Hero Academia,Сколько процентов тела может сделать проницаемым Мирио Тогата с помощью своей причуды?,100%,проценты,1,1,"супергероика, комедия",,0
30,Аниме,My Hero Academia,Каков рост Всемогущего в мышечной форме?,220 см,рост,1,2,"супергероика, комедия",,0
31,Аниме,My Hero Academia,В каком году вышел первый сезон My Hero Academia?,2016,дата,1,2,"супергероика, комедия",Современность,0
32,Аниме,Neon Genesis Evangelion,Сколько основных детей-пилотов Евангелионов?,5,количество,1,1,"меха, психологическая драма",,0
33,Аниме,Neon Genesis Evangelion,Сколько Ангелов атакуют Токио-3 в сериале?,17,количество,1,3,"меха, психологическая драма",,0
34,Аниме,Neon Genesis Evangelion,В каком году вышел Neon Genesis Evangelion?,1995,дата,1,2,"меха, психологическая драма",XX век,0
35,Аниме,One Piece,Сколько членов в команде Пиратов Соломенной Шляпы?,10,количество,1,3,"приключения, фэнтези",,0
36,Аниме,One Piece,В каком году вышла первая серия One Piece?,1999,дата,1,2,"приключения, фэнтези",XX век,0
38,Аниме,Sword Art Online,Сколько мечей одновременно использует Кирито в своем основном стиле?,2,количество,1,3,"фэнтези, романтика",,0
39,Аниме,Sword Art Online,Сколько этажей в Айнкраде?,100,количество,1,1,"фэнтези, романтика",,0
40,Аниме,Sword Art Online,В каком году вышел первый сезон Sword Art Online?,2012,дата,1,2,"фэнтези, романтика",Современность,0
41,Аниме,Атака титанов,Сколько стен защищают человечество на острове Парадиз?,3,количество,2,3,"постапокалиптика, боевик",,0
42,Аниме,Атака титанов,Сколько сезонов в аниме Атака титанов?,4,количество,1,1,"постапокалиптика, боевик",,0
43,Аниме,Атака титанов,В каком году вышел первый сезон Атаки титанов?,2013,дата,1,2,"постапокалиптика, боевик",Современность,0
44,Аниме,Блич,Сколько основных форм принимает банкай Ичиго Куросаки?,несколько,количество,1,3,"приключения, фэнтези",,1
45,Аниме,Блич,В каком году вышла первая серия Блич?,2004,дата,1,2,"приключения, фэнтези",Современность,0
46,Аниме,Мой сосед Тоторо,Сколько лет Мэй?,4 года,возраст,1,1,фэнтези,,0
47,Аниме,Мой сосед Тоторо,В каком году вышел фильм Мой сосед Тоторо?,1988,дата,1,2,фэнтези,XX век,0
48,Аниме,Наруто,Сколько Хокаге было до Наруто Узумаки?,6,количество,1,3,"приключения, фэнтези",,0
49,Аниме,Наруто,В каком году вышла первая серия Наруто?,2002,дата,1,2,"приключения, фэнтези",Современность,0
50,Аниме,Ghost in the Shell,Сколько полнометражных анимационных фильмов в основной серии Ghost in the Shell?,4,количество,1,1,киберпанк,,0
51,Аниме,Принцесса Мононоке,В каком году вышел фильм Принцесса Мононоке?,1997,дата,1,2,фэнтези,XX век,0
52,Аниме,Тетрадь смерти,Сколько лет прошло с момента, как Лайт Ягами начал использовать Тетрадь Смерти, до его собственной смерти?,6 лет,время,1,2,"детектив, мистика",,0
53,Аниме,Тетрадь смерти,Сколько правил Тетради Смерти показано в аниме?,около 45-50,количество,1,3,"детектив, мистика",,1
54,Аниме,Тетрадь смерти,В каком году вышла первая серия Тетради смерти?,2006,дата,1,2,"детектив, мистика",Современность,0
55,Аниме,Унесенные призраками,В каком году вышел фильм Унесенные призраками?,2001,дата,1,2,фэнтези,Современность,0
56,Аниме,Хаяо Миядзаки,Сколько фильмов Хаяо Миядзаки было номинировано на Оскар за лучший анимационный фильм?,6,количество,1,2,,,0
57,Аниме,Хаяо Миядзаки,Сколько лет Хаяо Миядзаки?,83 года,возраст,1,2,,,0
58,Аниме,Ходячий замок,В каком году вышел фильм Ходячий замок?,2004,дата,1,2,фэнтези,Современность,0
59,Биология,Ботаника,Сколько лепестков у дикой розы?,5,количество,1,2,,,0
60,Биология,Медицина,В каком году Луи Пастер разработал вакцину от сибирской язвы?,1881,дата,2,3,,XIX век,0
61,Биология,Медицина,В каком году была разработана первая эффективная вакцина от холеры?,1885,дата,2,3,,XIX век,0
62,Биология,Медицина,В каком году Луи Пастер разработал вакцину от бешенства?,1885,дата,1,2,,XIX век,0
63,Биология,Медицина,В каком году была разработана первая вакцина от брюшного тифа?,1896,дата,2,3,,XIX век,0
64,Биология,Медицина,В каком году была разработана первая эффективная вакцина от чумы?,1897,дата,1,2,,XIX век,0
65,Биология,Медицина,В каком году Карл Ландштейнер открыл группы крови системы AB0?,1901,дата,2,3,,XX век,0
66,Биология,Медицина,В каком году была разработана первая вакцина от коклюша?,1914,дата,2,3,,XX век,0
67,Биология,Медицина,В каком году была разработана вакцина БЦЖ от туберкулеза?,1921,дата,2,3,,XX век,0
68,Биология,Медицина,В каком году был открыт и выделен инсулин?,1921,дата,2,3,,XX век,0
69,Биология,Медицина,В каком году был разработан дифтерийный анатоксин?,1923,дата,2,3,,XX век,0
70,Биология,Медицина,В каком году был разработан столбнячный анатоксин?,1924-1926,дата,1,2,,XX век,0
71,Биология,Медицина,В каком году Александр Флеминг открыл пенициллин?,1928,дата,1,2,,XX век,0
72,Биология,Медицина,В каком году была разработана вакцина от японского энцефалита?,1935,дата,2,3,,XX век,0
73,Биология,Медицина,В каком году была разработана вакцина от желтой лихорадки?,1937,дата,2,3,,XX век,0
74,Биология,Медицина,В каком году была разработана вакцина от клещевого энцефалита?,1937,дата,2,3,,XX век,0
75,Биология,Медицина,В каком году была разработана первая вакцина от гриппа?,1938,дата,2,3,,XX век,0
76,Биология,Медицина,В каком году Джонас Солк разработал инактивированную вакцину от полиомиелита?,1955,дата,2,3,,XX век,0
77,Биология,Медицина,В каком году была разработана вакцина от кори?,1963,дата,1,2,,XX век,0
78,Биология,Медицина,В каком году была разработана вакцина от паротита?,1967,дата,2,3,,XX век,0
79,Биология,Медицина,В каком году была разработана вакцина от краснухи?,1969,дата,2,3,,XX век,0
80,Биология,Медицина,В каком году была разработана первая полисахаридная вакцина от пневмококковой инфекции?,1977,дата,2,3,,XX век,0
81,Биология,Медицина,В каком году была разработана первая полисахаридная вакцина от менингококковой инфекции?,1978,дата,1,2,,XX век,0
82,Биология,Медицина,В каком году была разработана первая вакцина от гепатита B?,1981,дата,1,2,,XX век,0
83,Биология,Медицина,В каком году была разработана вакцина от гемофильной инфекции типа b?,1985,дата,1,2,,XX век,0
84,Биология,Медицина,В каком году была разработана вакцина от гепатита A?,1986,дата,1,2,,XX век,0
85,Биология,Медицина,В каком году была разработана вакцина от ветряной оспы?,1995,дата,2,3,,XX век,0
86,Биология,Медицина,В каком году была одобрена первая вакцина от вируса папилломы человека?,2006,дата,1,2,,Современность,0
87,Биология,Медицина,В каком году была одобрена первая вакцина от ротавируса?,2006,дата,2,3,,Современность,0
88,Бутылки,История,Сколько лет назад была изобретена первая автоматическая машина для производства стеклянных бутылок?,120 лет,время,1,2,,,0
89,Бутылки,История,В каком году была запатентована первая ПЭТ-бутылка?,1973,дата,1,1,,XX век,0
90,Бутылки,Материалы,Сколько процентов алюминиевых банок перерабатывается в мире?,70%,проценты,1,1,,,0
91,Бутылки,Материалы,Сколько лет нужно для разложения стеклянной бутылки в природе?,более 1 миллиона лет,время,2,3,,,1
92,Бутылки,Материалы,Сколько пластиковых бутылок производится в мире каждую минуту?,1 миллион,количество,1,2,,,0
93,Бутылки,Переработка,Сколько процентов энергии экономится при переработке одной алюминиевой банки по сравнению с производством новой?,95%,проценты,2,3,,,0
96,Бутылки,Размеры,Сколько литров в стандартной бутыли воды для кулера?,18.9 литров,объем,1,2,,,0
97,Бутылки,Размеры,Сколько миллилитров в стандартной бутылке пива в США?,355 мл,объем,1,3,,,0
98,Бутылки,Размеры,Сколько миллилитров в стандартной винной бутылке?,750 мл,объем,1,1,,,0
99,География,География,В каком веке викинги открыли и заселили Исландию?,9 век н.э.,дата,1,2,,Наша эра,1
100,География,География,В каком году было впервые вычислено, что Эверест является высочайшей точкой Земли?,1852,дата,2,3,,XIX век,0
101,География,География,В каком году экспедиция Челленджера измерила глубину Марианской впадины?,1875,дата,2,3,,XIX век,0
102,География,География,В каком году было совершено первое подтвержденное достижение Северного полюса?,1909,дата,2,3,,XX век,0
103,География,География,В каком году Руаль Амундсен достиг Южного полюса?,1911,дата,1,2,,XX век,0
104,География,Горы,Сколько вершин выше 8000 метров на Земле?,14,количество,1,2,,,0
105,География,Горы,В каком году Эдмунд Хиллари и Тенцинг Норгей впервые покорили Эверест?,1953,дата,1,3,,XX век,0
106,География,Горы,Какова высота горы Килиманджаро?,5895 метров,высота,1,1,,,0
107,География,Континенты,Сколько континентов на Земле?,7,количество,1,2,,,0
108,География,Мировая,Сколько стран в мире?,193,количество,1,1,,,0
109,География,Океаны,Сколько океанов омывают берега России?,3,количество,1,2,,,0
110,География,Океаны,Какова средняя глубина Тихого океана?,3970 метров,глубина,1,1,,,0
111,География,Реки,Какова длина реки Амазонки?,6992 км,длина,1,3,,,0
112,География,Россия,Какова площадь России?,17125191 км²,площадь,1,3,,,0
113,География,США,Сколько штатов в США?,50,количество,1,1,,,0
114,География,Факты,Сколько часовых зон в России?,11,количество,1,2,,,0
115,География,Факты,Сколько стран не имеют выхода к морю?,44,количество,1,1,,,0
116,География,Факты,Какова максимальная глубина Марианской впадины?,10994 метра,глубина,1,1,,,0
117,География,Факты,Сколько островов в составе Индонезии?,более 17000,количество,1,3,,,1
118,География,Факты,Какова общая длина Великой Китайской стены со всеми ответвлениями?,21196 км,длина,1,3,,,0
119,География,Факты,Какова площадь Сахары?,9.2 миллионов км²,площадь,1,2,,,0
120,Еда,Еда,В каком веке появились первые упоминания о макаронных изделиях в Италии?,12-13 век н.э.,дата,2,3,,Наша эра,1
121,Еда,Еда,В каком веке пицца стала популярной в Неаполе?,18 век н.э.,дата,1,2,,Наша эра,1
122,Еда,Еда,В каком веке был изобретен твердый шоколад?,19 век н.э.,дата,1,2,,XIX век,1
123,Еда,Еда,В каком веке появился гамбургер в его современном виде?,19 век н.э.,дата,2,3,,XIX век,1
124,Еда,Еда,В каком году была запатентована первая коммерческая жевательная резинка?,1848,дата,2,3,,XIX век,0
129,Еда,Напитки,В каком веке появились первые достоверные свидетельства употребления кофе как напитка?,15 век н.э.,дата,1,2,,Наша эра,1
130,Еда,Напитки,Сколько граммов сахара в стандартной банке Coca-Cola?,35 граммов,количество,1,3,,,0
131,Еда,Напитки,В каком году была изобретена Coca-Cola?,1886,дата,2,3,,XIX век,0
132,Еда,Напитки,Сколько литров напитков компании Coca-Cola выпивается в мире каждую секунду?,более 20000 литров,количество,3,3,,,1
138,Еда,Фастфуд,Сколько куриных наггетсов в самом большом стандартном наборе McDonald's?,20 или 40,количество,1,2,,,1
139,Еда,Фастфуд,Сколько калорий в одном Биг Маке?,500-550,количество,1,2,,,0
140,Еда,Шоколад,Сколько килограммов шоколада съедает средний житель Швейцарии за год?,9-10 килограммов,количество,1,2,,,0
141,Еда и напитки,Факты,Сколько процентов взрослого населения мира имеет непереносимость лактозы?,65%,проценты,1,1,,,0
142,Еда и напитки,Факты,Сколько чашек кофе выпивается в мире каждый день?,более 2 миллиардов,количество,1,2,,,1
145,Животные,Белые медведи,Какова толщина жирового слоя у белого медведя?,10-11 см,толщина,2,3,,,0
146,Животные,Белые медведи,Сколько детенышей обычно рождается у белой медведицы?,1-3,количество,1,2,,,0
148,Животные,Дельфины,Сколько минут дельфин может находиться под водой без воздуха?,15-20 минут,время,1,3,,,0
149,Животные,Дельфины,Какова максимальная скорость плавания дельфина-афалины?,40 км/ч,скорость,1,1,,,0
151,Животные,Жирафы,Сколько шейных позвонков у жирафа?,7,количество,3,2,,,0
152,Животные,Жирафы,Каков рост взрослого жирафа?,4.3-5.8 метра,рост,1,1,,,0
154,Животные,Змеи,Какова длина самой большой змеи в мире?,до 10 метров,длина,1,1,,,1
155,Животные,Змеи,Сколько раз в год змея линяет?,2-12,количество,1,3,,,0
157,Животные,Кенгуру,Какова максимальная скорость бега кенгуру?,до 70 км/ч,скорость,1,1,,,1
158,Животные,Кенгуру,Сколько лет живут кенгуру?,6-20 лет,время,1,3,,,0
159,Животные,Кенгуру,На сколько метров может прыгнуть кенгуру в длину?,до 9 метров,длина,1,2,,,1
160,Животные,Коалы,Какова средняя масса коалы?,4-15 килограммов,масса,1,1,,,0
163,Животные,Кошки,Сколько усов у кошки с каждой стороны морды?,12,количество,1,2,,,0
167,Животные,Львы,Какова максимальная скорость бега льва?,до 80 км/ч,скорость,1,1,,,1
168,Животные,Львы,Сколько килограммов мяса съедает лев за день?,5-7 килограммов,количество,1,3,,,0
169,Животные,Львы,Сколько львов обычно в прайде?,3-30,количество,1,2,,,0
170,Животные,Млекопитающие,Сколько зубов у взрослой собаки?,42,количество,1,1,,,0
171,Животные,Морские,Сколько сердец у осьминога?,3,количество,2,1,,,0
172,Животные,Морские,Сколько зубов может смениться у акулы за жизнь?,тысячи,количество,2,3,,,1
